Date,CHS,JP,BA,CITI,WF,GS,MS,USB,ICBC,CCB,BOC,BCOM,CBM,IBC
6/30/2023,7.369290025,17.6930627,0.557865325,0.486022575,2.757258075,98.4790829,3.957665475,0.854693525,0.000147865,0.0001151,0.000147865,0.000270032,0.02063001,0.000147865
6/23/2023,1.0709893,14.9927398,0.4314313,0.7471359,0.813006025,61.0193707,6.1269016,1.4629047,4.89392E-05,5.01492E-05,4.89392E-05,8.77119E-05,0.044590697,4.89392E-05
6/16/2023,3.772212825,6.988543525,0.6131489,1.7350462,1.877772325,73.05451953,5.2604557,1.985536121,0.000403837,0.000183054,0.000403837,0.000336247,0.024989882,0.000403837
6/9/2023,3.425296691,6.4501813,0.8346887,2.3437582,2.072034925,86.6874253,5.9190987,2.468898225,0.000181968,9.54936E-05,0.000181968,0.000403199,0.022630924,0.000181968
6/2/2023,2.616234468,19.83884953,1.2454411,3.4355403,2.563855533,144.7315947,6.3752395,3.2671391,0.000237706,0.000297846,0.000237706,0.000402325,0.025818454,0.000237706
5/26/2023,4.186232925,18.5548572,0.8351491,3.583499025,1.6358463,86.2012453,6.5648663,2.058494425,0.000308535,0.000574655,0.000308535,0.000261785,0.052472012,0.000308535
5/19/2023,1.784964728,11.9314821,0.9507261,1.7251653,2.6602997,83.9809541,3.7124619,2.107012225,0.000387631,0.00039239,0.000387631,0.000350109,0.028734966,0.000387631
5/12/2023,6.5204631,7.6797781,0.4243663,1.4513649,1.7630217,44.1581764,4.0814173,2.5057813,0.00141815,0.001380593,0.00141815,0.001472083,0.058095819,0.00141815
5/5/2023,24.5174859,55.1962462,2.424508654,8.3463092,8.889226925,305.2668855,28.8282771,20.2701011,0.000891163,0.00095964,0.000891163,0.000353308,0.073601916,0.000891163
4/28/2023,6.9437509,23.47769993,1.1889413,3.876488175,2.74881195,53.9377459,5.890254175,4.952644444,0.000172956,0.00022928,0.000172956,0.000356238,0.075706428,0.000172956
4/21/2023,19.2852729,8.3865061,1.1745593,2.068446965,3.3007995,120.3264409,7.6409137,5.5370551,0.00013747,0.000177328,0.00013747,0.000323078,0.080722225,0.00013747
4/14/2023,4.8427741,25.1306923,1.140410625,2.920233925,2.736926617,85.5886334,4.9144579,0.96623834,0.000112269,7.58036E-05,0.000112269,2.54491E-05,0.041312486,0.000112269
4/7/2023,9.1000639,10.1031814,0.9074808,1.7406366,1.7440421,40.8247881,7.6011654,1.8571597,8.85455E-05,5.77549E-05,8.85455E-05,6.35362E-05,0.008792311,8.85455E-05
3/31/2023,7.989628575,3.3647203,0.4888797,1.6449739,1.2905059,34.7784917,6.6370666,3.3039658,0.000144069,0.000202923,0.000144069,0.000232467,0.030939053,0.000144069
3/24/2023,28.6140621,35.6476588,3.0735492,7.0597891,5.5008331,130.0585102,34.9841469,8.1787917,0.000133346,0.000212781,0.000133346,0.000198346,0.037870256,0.000133346
3/17/2023,121.7088311,39.6592848,2.5936149,6.241670725,6.6972859,199.3195834,34.4260159,14.1031574,0.000171925,0.000148051,0.000171925,0.000218004,0.031221378,0.000171925
3/10/2023,74.4818261,94.5798759,9.7764397,7.8626134,15.92917718,178.0336673,22.2206863,14.73172193,0.000434619,0.000922805,0.000434619,0.00059928,0.181069486,0.000434619
3/3/2023,12.05549893,8.0458899,1.4073657,0.943057725,2.1134983,399.0322097,8.137539675,2.4897914,0.000356042,0.00030973,0.000356042,0.000305639,0.080869585,0.000356042
2/24/2023,2.105777025,7.779128875,0.5424237,1.0701606,0.890813725,45.52051154,2.6407839,0.638627429,8.57377E-05,0.000111701,8.57377E-05,6.95028E-05,0.070866732,8.57377E-05
2/17/2023,2.413535778,6.9729514,0.770790025,1.1253841,1.6624159,52.3166277,3.5969599,0.5943687,8.01585E-05,9.26642E-05,8.01585E-05,4.08019E-05,0.024938537,8.01585E-05
2/10/2023,3.8208799,16.3495027,1.7704581,3.371664525,1.339163925,112.8341882,2.8441923,1.044114017,0.000113173,6.04402E-05,0.000113173,0.000162898,0.01721023,0.000113173
2/3/2023,13.3460643,8.0446813,0.9693862,3.5795263,1.4004973,137.6833129,6.7604463,0.756189825,0.000272165,0.000296556,0.000272165,0.000106821,0.06768554,0.000272165
1/27/2023,14.7206302,10.13699773,1.001462575,1.4965561,1.248274525,140.5397433,9.8696827,4.249845311,4.2462E-05,0.000108627,4.2462E-05,5.37055E-05,0.020998166,4.2462E-05
1/20/2023,28.1417904,17.4715141,1.6168852,2.9192717,2.1918607,202.7480478,18.9844404,3.5138684,0.000139002,8.0824E-05,0.000139002,9.34774E-05,0.02501349,0.000139002
1/13/2023,11.3916981,30.3426577,2.583878,3.003384225,7.2132188,117.6786303,8.683189725,1.81721255,0.000112174,0.000163262,0.000112174,5.2305E-05,0.036035914,0.000112174
1/6/2023,6.623798425,8.132337706,0.754703881,1.374049175,0.7442139,49.3500269,3.460245775,1.1653471,0.000321222,0.000492459,0.000321222,0.000479029,0.105683138,0.000321222
12/30/2022,0.871961225,4.6592083,0.376030675,0.5070351,0.3070788,32.0396937,1.9569172,0.4659001,0.000181023,0.00027664,0.000181023,0.000545086,0.026111305,0.000181023
12/23/2022,3.6910171,9.4329543,0.4551907,1.978563775,3.1852516,60.4646758,4.494804425,0.950582475,0.000151324,0.000146659,0.000151324,0.000145972,0.03596355,0.000151324
12/16/2022,19.1896337,33.99642752,2.5629153,8.2171756,4.4641163,563.9045447,42.0897289,4.4369827,0.000139141,0.000141749,0.000139141,5.62989E-05,0.035322152,0.000139141
12/9/2022,1.1448442,12.0910302,2.6625607,2.588175225,3.127927575,113.2418992,12.6301527,3.4979487,9.00691E-05,0.000133311,9.00691E-05,0.000405712,0.048145874,9.00691E-05
12/2/2022,3.9009082,14.6839539,1.4034582,2.9090313,4.910846856,79.4047337,8.1173622,1.133181925,0.000541443,0.000594673,0.000541443,0.00035591,0.323999737,0.000541443
11/25/2022,3.183796575,6.1357651,0.179108425,1.6289359,0.357709525,59.7183076,1.81689056,0.331739484,0.000330386,0.000291408,0.000330386,0.00036976,0.03706584,0.000330386
11/18/2022,7.831553116,9.5944663,1.2020922,3.951820575,2.012972175,97.4067541,9.037302945,2.7663661,0.000120858,0.000275796,0.000120858,0.000176041,0.094317849,0.000120858
11/11/2022,11.65317,16.9742457,1.6818327,6.0250291,2.8448257,158.3389753,25.40489673,1.481183675,0.000148376,0.000540016,0.000148376,0.000347404,0.047845948,0.000148376
11/4/2022,5.8320647,4.0358446,1.499475325,3.648575675,2.147715183,47.7665047,8.970385675,3.35163345,0.000497974,0.000534837,0.000497974,0.000262201,0.095381966,0.000497974
10/28/2022,24.20277308,8.2673127,1.2499501,1.5316483,1.497167175,70.7619323,4.8314679,1.324030225,5.34921E-05,0.000157148,5.34921E-05,0.000175537,0.030514092,5.34921E-05
10/21/2022,15.64874093,14.4122369,2.11688211,2.580310325,2.001420325,66.72041132,7.646527175,6.0663459,0.000114679,0.000160444,0.000114679,0.00014275,0.042571111,0.000114679
10/14/2022,10.0533645,89.9442894,5.2806718,9.576349575,12.83846783,280.5949496,6.078048448,9.8757558,0.00011505,0.000131584,0.00011505,9.67941E-05,0.179204322,0.00011505
10/7/2022,11.9928723,36.7638371,2.7073174,6.7084127,4.2787425,284.9190671,20.34408453,3.8269051,0.000437757,0.000503292,0.000437757,0.000711826,0.089901659,0.000437757
9/30/2022,5.3908247,8.810429359,0.883323175,1.7125569,1.62246295,81.49554996,4.8536311,1.0235531,0.000471141,0.000597272,0.000471141,0.000477479,0.04174784,0.000471141
9/23/2022,15.3645753,48.6676981,5.1673247,9.3615439,8.5125537,388.6037423,31.6793803,7.8049833,8.59002E-05,0.00011669,8.59002E-05,7.60668E-05,0.033375313,8.59002E-05
9/16/2022,6.3100573,17.4078529,1.7330039,4.8265943,6.395408975,209.3115888,12.3643271,5.0264847,0.000127501,0.000253491,0.000127501,0.000187145,0.049166949,0.000127501
9/9/2022,10.0213601,22.7592644,2.8368542,4.690255175,5.3348572,135.4104618,19.4608867,3.1831613,8.06526E-05,0.000161122,8.06526E-05,6.61275E-05,0.053749826,8.06526E-05
9/2/2022,5.616220675,15.3846919,1.586250468,2.490294025,1.9384388,121.2012782,15.9261182,1.329240025,8.38902E-05,8.30375E-05,8.38902E-05,0.000107332,0.029095305,8.38902E-05
8/26/2022,3.7696671,13.7803692,0.863072675,2.1258589,1.447023025,67.4089284,6.1345609,0.5206397,9.84979E-05,0.000137308,9.84979E-05,0.000127703,0.036912916,9.84979E-05
8/19/2022,7.885043409,16.42844537,1.2897839,1.8982377,0.990614675,61.1630821,3.3238663,1.1163617,5.92131E-05,0.000136381,5.92131E-05,0.000101408,0.024150207,5.92131E-05
8/12/2022,13.10104133,19.1258091,2.4422255,2.421631593,2.9091833,126.7763471,7.9212166,2.100805525,0.000130946,0.00021147,0.000130946,9.30785E-05,0.049972637,0.000130946
8/5/2022,10.4532481,12.86193164,0.8423241,1.2886557,2.0469454,43.7452337,4.6578773,0.9402937,0.000193123,0.000306628,0.000193123,0.00022561,0.039883911,0.000193123
7/29/2022,31.6759859,5.9745739,0.58952115,1.714137432,1.329513675,130.9653034,7.2790573,3.1813729,8.58156E-05,4.9635E-05,8.58156E-05,8.60281E-05,0.058362342,8.58156E-05
7/22/2022,4.524868675,12.3752841,1.642636225,4.8153127,2.5588659,331.9385577,9.7256487,0.8393929,0.000177444,0.000198733,0.000177444,0.000193945,0.029116973,0.000177444
7/15/2022,8.4357051,41.8335038,4.2229924,20.9311588,8.8074428,227.0480269,20.82178083,5.285978325,0.000220331,0.000302522,0.000220331,0.000334384,0.239777261,0.000220331
7/8/2022,3.9295849,15.1634623,1.2402857,2.9676459,1.847762775,74.03548676,6.596288525,1.765403371,0.000354404,0.000267272,0.000354404,0.000608516,0.12010285,0.000354404
7/1/2022,9.937693075,28.7721301,3.835466209,6.8806437,5.0711664,143.4943705,21.3800229,5.2694938,0.000217245,0.001330522,0.000217245,0.000225224,0.058876521,0.000217245
6/24/2022,5.8060989,19.47054672,2.0005212,3.9920929,7.5600893,206.3012332,17.1051273,3.558968225,0.000177317,0.000199717,0.000177317,0.000177232,0.039076808,0.000177317
6/17/2022,6.4132769,12.7811529,1.748947899,3.8696196,4.8610716,135.3091773,9.3910367,3.134770229,6.6338E-05,6.68291E-05,6.6338E-05,0.000128466,0.099437481,6.6338E-05
6/10/2022,16.84250842,33.4097109,3.9147121,6.9965373,6.4228833,229.8766126,19.7790939,6.323235825,0.00020351,0.000478291,0.00020351,0.000199619,0.066809389,0.00020351
6/3/2022,4.0741283,10.0859574,0.926318475,2.36571835,1.659376675,85.6826611,4.2792277,2.464384825,0.000100626,0.000257851,0.000100626,0.00013825,0.034167983,0.000100626
5/27/2022,13.9899468,12.8457903,0.8599317,2.7986583,1.9121907,149.6866134,8.1652833,2.106431925,5.07242E-05,0.000385278,5.07242E-05,0.000139407,0.074266544,5.07242E-05
5/20/2022,10.4674003,31.1731487,4.816971689,8.8420027,4.565959725,111.1382007,15.8391337,2.1959899,0.000143869,0.00019749,0.000143869,0.000215027,0.137304989,0.000143869
5/13/2022,8.4222741,31.9303089,2.974063221,12.64994933,6.52864385,225.4436367,19.61878691,5.2785872,0.000132789,0.000263304,0.000132789,0.000177386,0.051472382,0.000132789
5/6/2022,13.3203732,36.5137244,4.8409113,6.761797575,6.0332664,236.4989581,23.0802292,3.813421825,0.000379928,0.000365775,0.000379928,0.00080633,0.137294328,0.000379928
4/29/2022,6.3053868,16.49096282,1.4338117,3.714015525,1.333482859,106.3981045,7.877154775,2.048280925,0.000352919,0.000309596,0.000352919,0.000589979,0.291280544,0.000352919
4/22/2022,18.0130737,31.7557049,5.0331557,5.1444037,5.690187516,396.1303096,37.7555437,3.6518846,6.46247E-05,0.000109585,6.46247E-05,0.000141779,0.183738652,6.46247E-05
4/15/2022,17.6191269,30.3809496,3.0272739,4.6582033,10.7198557,168.0019059,12.6520228,6.1808029,3.91808E-05,5.85373E-05,3.91808E-05,8.33347E-05,0.056967608,3.91808E-05
4/8/2022,16.1418733,33.6831271,2.383922555,7.119183025,2.6959566,253.0953569,16.7027619,3.25363635,7.89238E-05,0.000136215,7.89238E-05,0.000224485,0.040195785,7.89238E-05
4/1/2022,30.1098361,39.52275492,5.085818246,10.04963973,10.6804843,110.7923241,17.0753749,9.261302175,0.000151151,0.000336224,0.000151151,0.000468756,0.060155247,0.000151151
3/25/2022,10.6894917,12.59401089,2.206441825,2.0734873,6.149123061,48.5635505,2.5477706,1.9640893,0.000202447,0.00024246,0.000202447,0.000413475,0.030525021,0.000202447
3/18/2022,16.8112154,23.2825374,0.802534075,4.469647525,3.06193815,183.227305,22.9907791,2.3154956,0.000890285,0.001373482,0.000890285,0.002340391,0.948586005,0.000890285
3/11/2022,23.4232531,27.6530331,5.856745975,5.321161926,8.9841049,179.4583326,24.7106331,2.8733731,0.000250557,0.000635475,0.000250557,0.000699959,0.155044879,0.000250557
3/4/2022,34.8335108,47.5194131,4.7735491,9.3467733,7.903843675,153.5093022,17.1822027,5.6949844,0.000233496,0.000427449,0.000233496,0.000257616,0.088021453,0.000233496
2/25/2022,40.9939118,89.2408333,8.296439344,20.07823073,14.11090218,262.0370867,34.1907397,10.3983486,0.000323899,0.000562594,0.000323899,0.000567981,0.085531889,0.000323899
2/18/2022,7.8350269,16.65319893,1.8562857,4.237608571,4.552126775,140.6366118,35.9959621,1.6373891,0.000430651,0.00051894,0.000430651,0.000593818,0.148294083,0.000430651
2/11/2022,25.3844689,33.4594803,3.2676307,6.1124157,8.2691241,137.2547839,18.7078939,2.138131675,0.000107709,0.000298776,0.000107709,0.00023769,0.106663069,0.000107709
2/4/2022,26.9664303,20.3059999,3.0487183,3.4544497,5.5914417,171.9483131,7.3980682,4.314293825,0.000123577,0.000213529,0.000123577,9.33591E-05,0.08791863,0.000123577
1/28/2022,27.5836294,53.3374005,7.167298203,13.0188644,8.544742575,258.6107363,23.56024908,7.2912012,7.94103E-05,0.000187722,7.94103E-05,0.000210797,0.050786519,7.94103E-05
1/21/2022,9.582645838,21.5076781,4.3387749,3.7996057,6.015505525,115.9200787,37.4327823,9.6718254,7.79277E-05,7.37186E-05,7.79277E-05,0.000185533,0.094867707,7.79277E-05
1/14/2022,15.77910258,34.58990907,2.6214519,6.3059623,7.0930891,269.6490133,27.9610638,3.3546537,0.000142581,0.00043831,0.000142581,0.000322049,0.08472282,0.000142581
